comments,likes,pos,neg,neu,num_tweets,com,pc
21,489,0.0794,0.075,0.8453999999999999,5,0.15439999999999998,0.03291358024691354
379,4917,0.05587499999999999,0.038974999999999996,0.9051500000000001,40,0.09484999999999999,0.013568904593639587
334,5103,0.08321153846153846,0.05259615384615384,0.864173076923077,52,0.1358076923076923,0.005698070374574456
307,4021,0.10586486486486486,0.037972972972972974,0.8561621621621619,37,0.14383783783783782,0.0251322451018232
381,5465,0.08968181818181818,0.04854545454545455,0.8617727272727275,44,0.13822727272727273,0.016601647160814872
408,4163,0.09932608695652176,0.06041304347826086,0.840282608695652,46,0.1597391304347826,0.038927591302512166
426,3694,0.08315384615384615,0.040249999999999994,0.8765576923076922,52,0.12340384615384614,-0.03170388251860794
355,4111,0.08691836734693875,0.05789795918367347,0.8552448979591836,49,0.14481632653061222,-0.00755515888665195
652,6532,0.0966808510638298,0.04923404255319149,0.8541276595744682,47,0.14591489361702129,0.06354609929078005
724,5484,0.09615384615384617,0.06276923076923077,0.8410769230769232,52,0.15892307692307694,-0.011639764448649953
392,5072,0.09688000000000002,0.06484,0.8382999999999999,50,0.16172000000000003,-0.021254907882814814
559,4962,0.09971153846153843,0.0721346153846154,0.8281346153846154,52,0.17184615384615382,0.03997974683544297
380,4571,0.08844897959183674,0.04887755102040815,0.8626734693877551,49,0.1373265306122449,0.005693347254782104
441,6209,0.07697826086956523,0.061565217391304355,0.8614565217391305,46,0.1385434782608696,0.03196605374823197
590,5501,0.09100000000000001,0.07124444444444446,0.8376888888888888,45,0.16224444444444447,-0.004074210075364091
440,5300,0.0851063829787234,0.06317021276595744,0.8517021276595745,47,0.14827659574468083,0.014089499335401006
288,3919,0.07173469387755102,0.0579795918367347,0.8703265306122452,49,0.12971428571428573,-0.01018172896623036
289,3965,0.08337777777777779,0.036,0.8806444444444443,45,0.11937777777777778,0.029576191442646574
244,3169,0.09063888888888888,0.07544444444444445,0.8339444444444445,36,0.16608333333333333,-0.0027968829706766863
508,5916,0.10737499999999998,0.07228571428571429,0.8203928571428571,56,0.17966071428571428,0.009206343691917421
251,2486,0.0913863636363636,0.037068181818181827,0.8714999999999999,44,0.12845454545454543,0.013266500110686029
586,10108,0.1345098039215686,0.04654901960784314,0.8189803921568628,51,0.18105882352941174,0.016515625000000034
618,7693,0.105,0.045942307692307685,0.8490384615384615,52,0.15094230769230768,0.15780255013433478
455,4627,0.09967857142857146,0.04630357142857142,0.8540535714285713,56,0.1459821428571429,0.004643471957959552
1167,13111,0.07921428571428572,0.07423214285714287,0.8465892857142856,56,0.1534464285714286,-0.10757233437796074
388,4561,0.09830909090909089,0.04445454545454547,0.8572181818181821,55,0.14276363636363637,0.0700651503028917
451,5395,0.09151666666666666,0.04016666666666667,0.8683333333333334,60,0.13168333333333332,0.02398193142153166
331,4355,0.12111999999999995,0.03734,0.84158,50,0.15845999999999993,-0.0359
203,3142,0.0901842105263158,0.0606578947368421,0.8491052631578947,38,0.1508421052631579,0.007271166378334753
317,3764,0.08545833333333336,0.05545833333333333,0.8590208333333335,48,0.1409166666666667,-0.013601244423875542
400,5367,0.09366666666666666,0.04742105263157896,0.8589122807017545,57,0.14108771929824562,0.08379165318667109
220,3084,0.0929591836734694,0.06746938775510206,0.8396326530612246,49,0.16042857142857148,0.016272452427529865
354,4221,0.09871428571428573,0.033448979591836736,0.8679183673469387,49,0.13216326530612246,0.019961977186311868
433,6712,0.07736,0.07218000000000001,0.8504399999999995,50,0.14954,-0.0065836491608011905
286,3652,0.08232075471698115,0.04156603773584906,0.8760754716981133,53,0.12388679245283021,-0.013750753879050285
